HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000216530,5,3,1,1,5,6,16.77812306,19,1,1,2,5,1,2,2,1,2,1,-1,1,1,-1,-1,3,1
9000216625,8,4,3,1,3,2,0.264139217,13,1,1,2,8,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000216625,8,4,3,1,3,2,27.9533872,13,1,1,2,8,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216625,8,4,3,1,3,2,27.09944065,13,1,1,2,8,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216625,8,4,3,1,3,2,6.417650715,13,1,1,2,8,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216625,8,4,3,1,3,2,6.44002486,13,1,1,2,8,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216639,10,3,2,1,4,3,4.117464264,10,1,1,2,6,2,2,2,1,2,1,-1,1,1,-1,-1,4,-1
9000216639,10,3,2,1,4,3,4.113735239,10,1,1,2,6,2,2,2,1,2,1,-1,1,1,-1,-1,4,-1
9000216640,7,2,2,1,4,2,0.405220634,15,1,1,-1,10,2,1,2,2,2,1,0,1,3,-1,-1,4,-1
9000216640,7,2,2,1,4,2,2.141702921,15,1,1,-1,10,2,1,2,2,2,1,0,1,3,-1,-1,4,-1
9000216640,7,2,2,1,4,2,6.266625233,15,1,1,-1,10,2,1,2,2,2,1,0,1,3,-1,-1,4,-1
9000216671,4,6,1,1,3,3,6.293349907,5,1,1,2,6,2,2,2,1,2,2,-1,1,3,2,1,4,-1
9000216671,4,6,1,1,3,3,6.520820385,5,1,1,2,6,2,2,2,1,2,2,-1,1,3,2,1,4,-1
9000216686,6,2,5,1,4,4,5.137973897,15,2,1,-1,10,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216692,7,9,5,2,4,3,96.50963331,5,2,1,-1,4,2,2,2,2,2,2,-1,1,2,-1,-1,2,-1
9000216692,7,9,5,2,4,3,15.63393412,5,2,1,-1,4,2,2,2,2,2,2,-1,1,2,-1,-1,2,-1
9000216692,7,9,5,2,4,3,1.698570541,5,2,1,-1,4,2,2,2,2,2,2,-1,1,2,-1,-1,2,-1
9000216692,7,9,5,2,4,3,6.333126165,5,2,1,-1,4,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216692,7,9,5,2,4,3,6.085146053,5,2,1,-1,4,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216692,7,9,5,2,4,3,2.67992542,5,2,1,-1,4,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216693,5,1,1,1,2,1,3.960845245,15,1,1,1,1,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000216701,7,1,1,1,2,7,2.84462399,4,1,1,2,1,2,2,2,2,2,2,-1,1,1,2,1,4,-1
9000216701,7,1,1,1,2,7,3.879428216,4,1,1,2,1,2,2,2,2,2,2,-1,1,1,2,1,4,-1
9000216712,11,2,2,1,5,4,12.16842759,4,1,1,2,2,2,2,2,1,2,2,-1,1,3,-1,-1,2,-1
9000216712,11,2,2,1,5,4,0.062771908,4,1,1,2,2,2,2,2,1,2,2,-1,1,3,-1,-1,2,-1
9000216712,11,2,2,1,5,4,13.36482287,4,1,1,2,2,2,2,2,1,2,2,-1,1,3,-1,-1,2,-1
9000216712,11,2,2,1,5,4,13.42137974,4,1,1,2,2,2,2,2,1,2,2,-1,1,1,-1,-1,2,-1
9000216736,10,2,3,1,4,4,9.899316346,13,1,1,1,2,1,1,2,1,2,1,13,1,3,-1,-1,1,2
9000216736,10,2,3,1,4,4,9.8769422,13,1,1,1,2,1,1,2,1,2,1,13,1,3,-1,-1,1,2
9000216747,8,3,2,1,5,6,6.883157241,10,1,1,2,5,2,2,2,2,2,1,-1,1,3,-1,-1,2,-1
9000216747,8,3,2,1,5,6,19.12802983,10,1,1,2,5,2,2,2,2,2,1,-1,1,3,-1,-1,2,-1
9000216747,8,3,2,1,5,6,19.69359851,10,1,1,2,5,2,2,2,2,2,1,-1,1,3,-1,-1,2,-1
9000216747,8,3,2,1,5,6,12.22498446,10,1,1,2,5,2,2,2,2,2,1,-1,-1,9,-1,-1,2,-1
9000216773,5,2,4,1,1,5,7.331883157,26,1,1,1,2,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216773,5,2,4,1,1,5,6.262274705,26,1,1,1,2,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216789,8,1,1,1,5,2,1.201367309,9,1,1,2,1,2,2,2,1,2,1,-1,1,1,-1,-1,3,1
9000216790,8,3,2,1,4,6,9.661901802,10,1,1,2,6,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216790,8,3,2,1,4,6,22.43816035,10,1,1,2,6,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216790,8,3,2,1,4,6,21.72529521,10,1,1,2,6,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216824,-7,5,5,1,2,5,14.98073337,12,1,1,-1,8,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216824,-7,5,5,1,2,5,15.57551274,12,1,1,-1,8,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216824,-7,5,5,1,2,5,15.68303294,12,1,1,-1,8,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216824,-7,5,5,1,2,5,15.65257924,12,1,1,-1,8,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216825,4,1,1,2,4,4,6.225605966,3,1,1,-1,9,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216825,4,1,1,2,4,4,3.981976383,3,1,1,-1,9,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216825,4,1,1,2,4,4,4.755127408,3,1,1,-1,9,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216828,6,2,2,1,5,3,3.814791796,5,1,1,-1,2,2,1,2,2,1,1,0,1,3,-1,-1,1,3
9000216841,7,4,2,1,5,2,9.172778123,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216841,7,4,2,1,5,2,9.060285892,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216841,7,4,2,1,5,2,71.19328776,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216841,7,4,2,1,5,2,77.65506526,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216892,11,3,1,1,1,2,4.114978247,28,1,1,2,8,2,1,2,2,2,1,4,1,2,-1,-1,4,-1
9000216892,11,3,1,1,1,2,4.037290242,28,1,1,2,8,2,1,2,2,2,1,4,1,2,-1,-1,4,-1
9000216893,8,4,2,1,5,2,7.147296457,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,1.405842138,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,4.1845867,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,5.244251088,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,5.682411436,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,9.764449969,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,8.644499689,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,6.039776259,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,9.485394655,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,3.106898695,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000216893,8,4,2,1,5,2,4.273461778,5,1,1,-1,4,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
